Time(S);YoungBefore(KB);YoungAfter(KB);YoungAllocated(KB);OldBefore(KB);OldAfter(KB);OldAllocated(KB);OldYoungBefore(KB);OldYoungAfter(KB);OldYoungAllocated(KB);PermBefore(KB);PermAfter(KB);PermAllocated(KB);TotalBefore(KB);TotalAfter(KB);TotalAllocated(KB)
12982,495;162452;720;167424;273364;274157;349696;435816;274877;517120;;;;;;
13035,667;160464;3988;167424;274157;274478;349696;434621;278466;517120;;;;;;
13089,518;163732;656;167424;274478;275387;349696;438210;276043;517120;;;;;;
13116,509;160400;3668;167424;275387;275643;349696;435787;279311;517120;;;;;;
13140,707;163412;864;167424;275643;276659;349696;439055;277523;517120;;;;;;
13157,174;160608;928;167424;276659;276907;349696;437267;277835;517120;;;;;;
13223,806;160672;6088;165888;276907;277243;349696;437579;283331;515584;;;;;;
13335,410;164808;3772;166912;277243;278530;349696;442051;282302;516608;;;;;;
13426,949;162492;1347;167424;278530;279482;349696;441022;280829;517120;;;;;;
13502,153;160579;4049;166912;279482;279897;349696;440061;283946;516608;;;;;;
13533,483;163281;1440;167424;279897;280748;349696;443178;282188;517120;;;;;;
13548,509;161180;4303;167424;280749;281053;349696;441929;285356;517120;;;;;;
13568,806;164047;5963;166400;281053;281896;349696;445100;287859;516096;;;;;;
13580,673;164683;1536;166912;281896;283145;349696;446579;284681;516608;;;;;;
13803,568;160256;5304;165888;283145;283979;349696;443401;289283;515584;;;;;;
13828,536;163000;3588;166400;283979;285548;349696;446979;289136;516096;;;;;;
13924,268;161284;4121;166912;285548;286429;349696;446832;290550;516608;;;;;;
13951,328;162841;3984;166912;286429;287487;349696;449270;291471;516608;;;;;;
13963,148;162704;2724;167424;287487;288493;349696;450191;291217;517120;;;;;;
14028,009;162468;3349;167424;288493;288837;349696;450961;292186;517120;;;;;;
14040,118;163093;2806;168448;288837;289580;349696;451930;292386;518144;;;;;;
14087,232;164086;3164;167936;289580;290260;349696;453666;293424;517632;;;;;;
